"original_value","curated_ontology_term","curated_ontology_term_id","curated_ontology_term_db"
"no","None","NCIT:C41132","NCIT"
"thienobenzodiazepines","second generation antipsychotic","CHEBI:65191","CHEBI"
"dopamine_antagonists","Dopamine Antagonist","NCIT:C66883","NCIT"
"phenylpiperidines","Phenylpiperidine derivative (substance)","48070003","SNOMED"
"NSAID","Nonsteroidal Antiinflammatory Drug","NCIT:C257","NCIT"
"ipilumumab","Ipilimumab","NCIT:C2654","NCIT"
"nivolumab","Nivolumab","NCIT:C68814","NCIT"
"pembrolizumab","Pembrolizumab","NCIT:C106432","NCIT"
"blood_pressure_medication","Antihypertensive Agents","SCDO:0000067","SCDO"
"diabetes_oral_medication","Anti-diabetic Agent","NCIT:C29711","NCIT"
"EEN","Enteral Nutrition","OMIT:0005993","OMIT"
"5-ASA","Mesalamine","NCIT:C29249","NCIT"
"iron","Iron","NCIT:C598","NCIT"
"aza","Azathioprine","NCIT:C290","NCIT"
"nutritions","Dietary Supplement","NCIT:C1505","NCIT"
"EN","Enteral Nutrition","OMIT:0005993","OMIT"
"probiotic","Probiotics","OMIT:0019903","OMIT"
"modulen_suppl","Pediatric Nutritional Supplement Drink","NCIT:C74453","NCIT"
"folate","Folate","NCIT:C1444","NCIT"
"forceval","Dietary Supplement","NCIT:C1505","NCIT"
"methotrexate","Methotrexate","NCIT:C642","NCIT"
"Lactulose","lactulose","CHEBI:6359","CHEBI"
"anti_hypertension","Antihypertensive Agents","SCDO:0000067","SCDO"
"urinary_alkalinizer","Citrate-containing Alkalinizing Agent","NCIT:C29369","NCIT"
"aspirin","Aspirin","NCIT:C287","NCIT"
"beta_blockers","Beta-Adrenergic Antagonist","NCIT:C29576","NCIT"
"statins","statin","CHEBI:87631","CHEBI"
"antihypertension","Antihypertensive Agents","SCDO:0000067","SCDO"
"antidiab","Anti-diabetic Agent","NCIT:C29711","NCIT"
"insulin","Insulin","NCIT:C2271","NCIT"
"PPI","Proton Pump Inhibitor","NCIT:C29723","NCIT"
"metformin","Metformin","NCIT:C61612","NCIT"
"steroids","Steroid Compound","NCIT:C843","NCIT"
"antihta","Antihypertensive Agents","SCDO:0000067","SCDO"
"thiazidique","Thiazide Diuretic","NCIT:C49185","NCIT"
"at2_inhib","Angiotensin II Receptor Antagonist","NCIT:C66930","NCIT"
"su","Sulfonylurea Antidiabetic Agent","NCIT:C97936","NCIT"
"dppiv","Dipeptidyl-Peptidase IV Inhibitors","OMIT:0026067","OMIT"
"ca2_cbl","Calcium Channel Blocker","NCIT:C333","NCIT"
"antilipid","Antilipidemic Agent","NCIT:C29703","NCIT"
"ace_inhib","Angiotensin-Converting Enzyme Inhibitors","SCDO:0000055","SCDO"
"statin","statin","CHEBI:87631","CHEBI"
"asa","Aspirin","NCIT:C287","NCIT"
"kspdiur","Potassium-Sparing Diuretic","NCIT:C49186","NCIT"
"ezetimibe","Ezetimibe","NCIT:C47529","NCIT"
"ppi","Proton Pump Inhibitor","NCIT:C29723","NCIT"
"ctrblock","Centrally acting hypotensive agent (substance)","372740001","SNOMED"
"fibrate","fibrate","TXPO:1000442","TXPO"
"clopidogrel","Clopidogrel","NCIT:C61686","NCIT"
"glp_1","glucagon-like peptide-1 receptor agonist","CHEBI:71196","CHEBI"
"cumarine","Coumarin","NCIT:C397","NCIT"
"other_antiarythmic","Anti-Arrhythmia Agents","OMIT:0002291","OMIT"
"antithombo","Thrombolytic Agent","NCIT:C29750","NCIT"
"diuranse","Diuretic","NCIT:C448","NCIT"
"xantoxinh","Xanthine Oxidase Inhibitor","NCIT:C1637","NCIT"
"redriceomega","red yeast rice","DRON:00017677","DRON"
"digitalis","Digitalis","NCIT:C65385","NCIT"
"nitrate","Nitrate","NCIT:C80487","NCIT"
"amiodaron","Amiodarone","NCIT:C62002","NCIT"
"heparine","Heparin","NCIT:C539","NCIT"
"antagrenine","EC 3.4.23.15 (renin) inhibitor","CHEBI:166822","CHEBI"
"sglt2","sodium-glucose transport protein subtype 2 inhibitor","CHEBI:73273","CHEBI"
"glitazone","Thiazolidinedione Antidiabetic Agent","NCIT:C98241","NCIT"
"acarbose","Acarbose","NCIT:C983","NCIT"
"PD1","Anti-PD1 Monoclonal Antibody","NCIT:C128037","NCIT"
"CTLA4","Anti-CTLA-4 Monoclonal Antibody","NCIT:C128036","NCIT"
"anti_retrovirals","Anti-Retroviral Agents","OMIT:0023531","OMIT"
"anti_virals","antiviral drug","CHEBI:36044","CHEBI"
"reverse_transcriptase_inhibitors","Reverse Transcriptase Inhibitor","NCIT:C1589","NCIT"
"antiviral","antiviral drug","CHEBI:36044","CHEBI"
"anthelmintics","Antihelminthic Agent","NCIT:C250","NCIT"
"albendazole","Albendazole","NCIT:C47384","NCIT"
"opioids","Opioid","NCIT:C1506","NCIT"
"laxatives","Laxative","NCIT:C29697","NCIT"
"corticosteroids","Corticosteroid","NCIT:C2322","NCIT"
"antineoplastics","Antineoplastic Agent","NCIT:C274","NCIT"
"glargine","Insulin Glargine","NCIT:C47564","NCIT"
"novorapid","Insulin Aspart","NCIT:C47563","NCIT"
"lantus","Insulin Glargine","NCIT:C47564","NCIT"
"metformin_hydrochloride","Metformin Hydrochloride","NCIT:C29251","NCIT"
"isophane","Isophane Insulin, Human","OMIT:0001345","OMIT"
"sitagliptin","Sitagliptin","NCIT:C73838","NCIT"
"lantus_solostar","Insulin Glargine","NCIT:C47564","NCIT"
